,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,time,dudu_score
0,0.0,0.0,0.0,0.0,2021-01-01,0.09734281
1,1.0,1.0,1.0,1.0,2021-01-02,0.07798874
2,2.0,2.0,2.0,2.0,2021-01-03,0.078877645
3,3.0,3.0,3.0,3.0,2021-01-04,0.07600297
4,4.0,4.0,4.0,4.0,2021-01-05,0.06606809799999999
5,5.0,5.0,5.0,5.0,2021-01-06,0.083057379
6,6.0,6.0,6.0,6.0,2021-01-07,0.095866234
7,7.0,7.0,7.0,7.0,2021-01-08,0.09073544
8,8.0,8.0,8.0,8.0,2021-01-09,0.075517204
9,9.0,9.0,9.0,9.0,2021-01-10,0.054406103
10,10.0,10.0,10.0,10.0,2021-01-11,0.096602775
11,11.0,11.0,11.0,11.0,2021-01-12,0.095082098
12,12.0,12.0,12.0,12.0,2021-01-13,0.058633124
13,13.0,13.0,13.0,13.0,2021-01-14,0.055387944
14,14.0,14.0,14.0,14.0,2021-01-15,0.090931464
15,15.0,15.0,15.0,15.0,2021-01-16,0.104602902
16,16.0,16.0,16.0,16.0,2021-01-17,0.08517770599999999
17,17.0,17.0,17.0,17.0,2021-01-18,0.085872677
18,18.0,18.0,18.0,18.0,2021-01-19,0.083734701
19,19.0,19.0,19.0,19.0,2021-01-20,0.061928056
20,20.0,20.0,20.0,20.0,2021-01-21,0.09825647
21,21.0,21.0,21.0,21.0,2021-01-22,0.070499
22,22.0,22.0,22.0,22.0,2021-01-23,0.07620730099999999
23,23.0,23.0,23.0,23.0,2021-01-24,0.109318978
24,24.0,24.0,24.0,24.0,2021-01-25,0.083375482
25,25.0,25.0,25.0,25.0,2021-01-26,0.104612387
26,26.0,26.0,26.0,26.0,2021-01-27,0.100888053
27,27.0,27.0,27.0,27.0,2021-01-28,0.085042534
28,28.0,28.0,28.0,28.0,2021-01-29,0.073929736
29,29.0,29.0,29.0,29.0,2021-01-30,0.080014003
30,30.0,30.0,30.0,30.0,2021-01-31,0.097572649
31,31.0,31.0,31.0,31.0,2021-02-01,0.106833827
32,32.0,32.0,32.0,32.0,2021-02-02,0.093028321
33,33.0,33.0,33.0,33.0,2021-02-03,0.089088926
34,34.0,34.0,34.0,34.0,2021-02-04,0.124869733
35,35.0,35.0,35.0,35.0,2021-02-05,0.110736699
36,36.0,36.0,36.0,36.0,2021-02-06,0.06302774900000001
37,37.0,37.0,37.0,37.0,2021-02-07,0.08069428599999999
38,38.0,38.0,38.0,38.0,2021-02-08,0.099005174
39,39.0,39.0,39.0,39.0,2021-02-09,0.086212297
40,40.0,40.0,40.0,40.0,2021-02-10,0.091481417
41,41.0,41.0,41.0,41.0,2021-02-11,0.08597563800000001
42,42.0,42.0,42.0,42.0,2021-02-12,0.0955155
43,43.0,43.0,43.0,43.0,2021-02-13,0.077685378
44,44.0,44.0,44.0,44.0,2021-02-14,0.105347353
45,45.0,45.0,45.0,45.0,2021-02-15,0.083243464
46,46.0,46.0,46.0,46.0,2021-02-16,0.083320589
47,47.0,47.0,47.0,47.0,2021-02-17,0.082723665
48,48.0,48.0,48.0,48.0,2021-02-18,0.069821263
49,49.0,49.0,49.0,49.0,2021-02-19,0.092868971
50,50.0,50.0,50.0,50.0,2021-02-20,0.057586136
51,51.0,51.0,51.0,51.0,2021-02-21,0.066532828
52,52.0,52.0,52.0,52.0,2021-02-22,0.101694966
53,53.0,53.0,53.0,53.0,2021-02-23,0.107521451
54,54.0,54.0,54.0,54.0,2021-02-24,0.099535099
55,55.0,55.0,55.0,55.0,2021-02-25,0.141201341
56,56.0,56.0,56.0,56.0,2021-02-26,0.09307543
57,57.0,57.0,57.0,57.0,2021-02-27,0.070548257
58,58.0,58.0,58.0,58.0,2021-02-28,0.102444755
59,59.0,59.0,59.0,59.0,2021-03-01,0.1175014
60,60.0,60.0,60.0,60.0,2021-03-02,0.104319792
61,61.0,61.0,61.0,61.0,2021-03-03,0.072552721
62,62.0,62.0,62.0,62.0,2021-03-04,0.091365609
63,63.0,63.0,63.0,63.0,2021-03-05,0.081267681
64,64.0,64.0,64.0,64.0,2021-03-06,0.07168802099999999
65,65.0,65.0,65.0,65.0,2021-03-07,0.067344696
66,66.0,66.0,66.0,66.0,2021-03-08,0.076634752
67,67.0,67.0,67.0,67.0,2021-03-09,0.102486482
